排名,歌曲名,歌手,专辑
48,多远都要在一起,G.E.M.邓紫棋,新的心跳
49,吻你吻上太空,曾舜晞,吻你吻上太空
50,麦恩莉,方大同,回到未来
51,小孩,罗森涛,为何离开
52,不将就,李荣浩,有理想
53,绽放,郑润泽,梦游
54,爱我还是他,陶喆,太平盛世
55,再等冬天(Memories),h3R3,故事商铺·上
56,我爱你但是我要回家,ET / Happer / 无面小生 / 口古口古,我爱你但是我要回家
57,孤独患者,陈奕迅,？
58,我想要占据你,告五人,带你飞
59,3977,ljz329,3977
60,我记得,赵雷,署前街少年
61,与我无关,阿冗,与我无关
62,如果可以,韦礼安,如果可以
63,曾经是情侣 (Live),梁博,我是唱作人 第4期
64,可不可以,张紫豪,可不可以
65,有我呢,郭一凡,重返地球
66,富士山下,陈奕迅,What's Going On…?
67,你要的全拿走,胡彦斌,覅忒好
68,遐想,郑润泽,梦游
69,苦茶子,Starling8 / MoreLearn 27 / FIVESTAR,埋汰
70,My love,颜人中,感情事故
71,悬溺,葛东琪,第二街区
72,知我,国风堂 / 哦漏,知我
73,沉溺 (你让我的心不再结冰）,邹沛沛 / Pank,沉溺（你让我的心不再结冰）
74,千万次想象,张杰,千万次想象
75,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
76,虚拟,陈粒,小梦大半
77,不说 (原来是不说),周公,不说
78,素颜,许嵩 / 何曼婷,素颜
79,杏冷淡freestyle,柴行敏,杏冷淡freestyle
80,同花顺,林倛玉,12蓮花 原著電影原聲帶 (Original Motion Picture Soundtrack)
81,开始懂了,孙燕姿,我要的幸福
82,无名的人,毛不易,无名的人
83,下一个天亮,郭静,下一个天亮
84,Forget it （feat. Mac Ova Seas）,SETI / mac ova seas,nightfall EP
85,诀别书,邓垚,诀别书
86,再次爱上你,金润吉,再次爱上你
87,江南,林俊杰,第二天堂
88,孤身,徐秉龙,孤身
89,句号,G.E.M.邓紫棋,摩天动物园
90,Deadman,蔡徐坤,Deadman
91,沦陷,JuggShots,沦陷
92,唯一,告五人,运气来得若有似无
93,四点的海棠花未眠,渡,四点的海棠花未眠
94,哪里都是你,队长,哪里都是你
95,演员,薛之谦,绅士
96,最渣男主角,Shooter / 404 RAPPER,最渣男主角
97,IF YOU,BIGBANG,D
98,才二十三,方大同,梦想家 The Dreamer
99,一程山路,毛不易,小王
100,和你,余佳运,幸福三部曲
101,Montagem Nada Tropica,Eternxlkz,Montagem Nada Tropica
102,在你的身边,盛哲,在你的身边
103,time machine (feat. aren park),mj apanay / aren park,seen 11:23 pm
104,雨爱,杨丞琳,雨爱
105,戒烟,李荣浩,戒烟
106,心似烟火,陈壹千,心似烟火
107,太聪明,陈绮贞,Groupies吉他手
108,半点心,草蜢,Grasshopper Ⅳ
109,沉沦与遐想,C.HØPE,沉沦与遐想
110,Letting Go,蔡健雅,说到爱
111,Love U 2,陈伟霆,WOW
112,去北极忘记你,Gareth.T,去北极忘记你
113,怎么说我不爱你,萧敬腾,狂想曲
114,倒数,G.E.M.邓紫棋,另一个童话
115,我们的歌,王力宏,改变自己
116,病态的爱,Zkaaai / 哈利白特,1:20
117,最后一页,江语晨,恋习
118,猜不透,丁当,我爱上的
119,水星记,郭顶,飞行器的执行周期
120,紫荆花盛开,李荣浩 / 梁咏琪,紫荆花盛开
121,还是分开,张叶蕾,还是分开
122,向阳而生,华晨宇,华晨宇日出演唱会特辑
123,我知道,By2,Twins
124,精卫,30年前，50年后,丧失年轻，勿失年华
125,偏爱,张芸京,仙剑奇侠传三 电视原声带
126,恶作剧,林依晨,幸福遇见
127,坏女孩,徐良 / 小凌,不良少年
128,淘汰,陈奕迅,认了吧
129,想你时风起,单依纯,我的人间烟火 电视剧原声带
130,Flower Girl,余宇涵,Flower Girl
131,听夜雨,礼越,听夜雨
132,我看过,周星星,我看过
133,稳稳的幸福,陈奕迅,稳稳的幸福
134,Dehors,JORDANN,Dehors
135,"Baby, Don't Cry (人鱼的眼泪)",EXO,The 1st Album XOXO (KISS&HUG)
136,他只是经过,h3R3 / 高旭,他只是经过
137,祝你爱我到天荒地老,颜人中 / VaVa娃娃,祝你爱我到天荒地老
138,亲爱的你啊,任素汐,亲爱的你啊
139,起风了,买辣椒也用券,起风了
140,MENTE MÁ,Nakama / MC Staff,MENTE MÁ
141,空白（Void）,Pank / 罗凯元,空白Void
142,看着我眼睛,吴琳珂Moske,看着我眼睛
143,茫,李润祺,茫
144,算了吧,Aioz / 张天枢 / 刘思达LOFTHESTAR,算了吧
145,越来越不懂,蔡健雅,Goodbye & Hello
146,几分之几 (You Complete Me),卢广仲,几分之几
147,少一点天分,孙盛希,|希。O2 | 初雪限定
148,幻听,许嵩,梦游计
149,好久不见,陈奕迅,认了吧
150,像晴天像雨天,汪苏泷,电视剧《难哄》影视原声带·只喜欢你Love Moments
151,将故事写成我们,林俊杰,将故事写成我们
152,心如止水,Ice Paper,成语接龙
153,一人行,曾舜晞,一人行
154,勇气,梁静茹,勇气
155,青花,周传雄,蓝色土耳其
156,牵丝戏,银临 / Aki阿杰,牵丝戏
157,我愿,阿虾,我愿
158,I Love You So,The Walters,I Love You So
159,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送
160,最佳损友,陈奕迅,Life Continues…
161,可惜没如果,林俊杰,新地球 - 人 (Special Edition)
162,凄美地,郭顶,飞行器的执行周期
163,美人鱼,林俊杰,第二天堂
164,无人知晓的我,黄丽玲,A-LIN同名专辑
165,半句再见,孙燕姿,半句再见
166,冬眠,阿YueYue / 刘兆宇,冬眠·2023
167,离别开出花,就是南方凯,离别开出花
168,去远方,付俊乐,去远方
169,天外来物,薛之谦,天外来物
170,带我去找夜生活,告五人,带我去找夜生活
171,给你呀（又名：for ya）,蒋小呢,for ya
172,弥渡山歌 (PHONK),羊音乐,弥渡冯克
173,若月亮没来 (若是月亮还没来),王宇宙Leto / 乔浚丞,若月亮没来（若是月亮还没来）
174,The Way I Still Love You,Reynard Silva,Reynard Silva
175,呓语,毛不易,小王
176,孤雏,AGA,孤雏
177,爱人错过,告五人,我肯定在几百年前就说过爱你
178,有一种悲伤,黄丽玲,比悲伤更悲伤的故事 电影原声带
179,拉过勾的,陆虎,花吃泡面男
180,迷人的危险,Dance Flow,df 1
181,一样的月光,徐佳莹,LaLa首张创作专辑
182,如愿,王菲,如愿
183,Angel,尹美莱 / Tiger JK / 비지 (Bizzy),Angel
184,Leave Me Alone（寂寞作伴）,TC,Leave Me Alone
185,至少还有你,林忆莲,林忆莲's
186,颜如玉,李大奔BENZO,IDOL
187,天天,陶喆,I'm OK
188,心许百年,王天戈,心许百年
189,一滴泪的时间 (L),赵紫骅,一滴泪的时间 (L)
190,推开世界的门,杨乃文,离心力
191,普通朋友,陶喆,I'm OK
192,那时雨,徐良,情话
193,只为你着迷,李秉成,只为你着迷
194,情歌,梁静茹,现在开始我爱你
195,Lost ,满舒克 / Jony J,Almost Perfect
196,他不懂,张杰,爱，不解释
197,若把你,Kirsty刘瑾睿,若把你
198,跳楼机,LBI利比,跳楼机
199,在加纳共和国离婚 (你还爱我吗),菲道尔 / DIOR大颖,在加纳共和国离婚
200,世界赠予我的,王菲,世界赠予我的
