排名,歌曲名,歌手,专辑,歌曲ID
44,跳楼机,LBI利比（时柏尘）,跳楼机,0029vb0r2T9PE4
45,如愿,王菲,如愿,001ufyHx10iWpg
46,可不可以,张紫豪,可不可以,000x2ZyK1FYFht
47,愿与愁,林俊杰,重拾_快乐,003N7EbT2mUdPG
48,修炼爱情,林俊杰,因你 而在,002CxSLT41D5tD
49,趁黎明来临前说爱吧,梓渝,趁黎明来临前说爱吧,002J1l371TcISS
50,遇见,孙燕姿,The Moment,001xJbdb2MBaaz
51,句号,G.E.M. 邓紫棋,摩天动物园,001QJyJ32zybEe
52,十年,陈奕迅,黑白灰,001OyHbk2MSIi4
53,找自己,陶喆,I'm OK,003uKKf71WF3v1
54,雨爱,杨丞琳,雨爱,000rh0dE2TyUic
55,青花,周传雄,蓝色土耳其,002MFDAV3rPFlo
56,不将就,李荣浩,有理想,000edAg12jLBrN
57,出现又离开,梁博,我是唱作人 第2期,004DiVWg09UKQx
58,富士山下,陈奕迅,What's Going On...?,003aAPj81VWrbL
59,海阔天空,BEYOND,乐与怒,001yS0N33yPm1B
60,指纹,杜宣达,指纹,000HTbQv2OHqYi
61,Letting Go,蔡健雅,说到爱,004aJoYT3ia7al
62,背对背拥抱,林俊杰,100天,002E8ebM3TFWmA
63,倒数,G.E.M. 邓紫棋,另一个童话,003jjoM94WLiTf
64,最后一页,江语晨,恋习,004INdnu0H2fok
65,亲爱的你啊,任素汐,亲爱的你啊,003tVOQf29pSu7
66,想你的夜,关喆,永远的永远,002585Ee3hWnO5
67,当你,林俊杰,她说 概念自选辑,001nUzRq0GgCVb
68,我知道,BY2,Twins,003upMMS1zgYzc
69,Love U2,陈伟霆,WOW,003e0EXV2q4CYx
70,半点心,草蜢,Grasshopper IV,0010HJpB1V1hOT
71,可惜没如果,林俊杰,新地球,004AxZur0wQjFR
72,你要的全拿走,胡彦斌,覅忒好,000nNzj03CNUIT
73,后来,刘若英,我等你,000XeLXA3X8CTH
74,MENTE MÁ (刀马刀马),Nakama & MC Staff,MENTE MÁ,000WMGyY3V9bCo
75,零距离的思念,TINY7,Chose one me,002CmMJu07s5qA
76,夏夜最后的烟火,颜人中,夏夜最后的烟火,004YVhTx4b1rFK
77,如果可以,韦礼安,如果可以,003JOgMV1LeXOC
78,至少还有你,林忆莲,林忆莲's,002QOSPX0bEK4f
79,爱你没差,周杰伦,十二新作,002tNzue0g8xQA
80,搁浅,周杰伦,七里香,001Bbywq2gicae
81,同手同脚,温岚,热浪,000IjuxH0aRZEH
82,黄昏,周传雄,Transfer,000Sw6cm1GHNRw
83,天外来物,薛之谦,天外来物,0013WPvt4fQH2b
84,猜不透,丁当,我爱上的,001IVHSw06Rmqf
85,光年之外,G.E.M. 邓紫棋,光年之外,002E3MtF0IAMMY
86,青花瓷,周杰伦,我很忙,002qU5aY3Qu24y
87,山高路远,全幺九,山高路远,000Y8D1H12a4hw
88,不潮不用花钱,林俊杰,JJ陆,0026G2Lq3Cl7ig
89,WE GO UP,BABYMONSTER,WE GO UP,001xkQBb03sHYN
90,天下,张杰,听！我们的歌,00041h1u3kgquE
91,勇气,梁静茹,勇气,000LDr7E13dXy1
92,天地龙鳞,王力宏,天地龙鳞,001lePVO36SNSo
93,七里香,周杰伦,七里香,004Z8Ihr0JIu5s
94,我想念,汪苏泷,我想念,000bDqin1gYB66
95,兰亭序,周杰伦,魔杰座,00128N3r2SYKMF
96,在你的身边,盛哲,在你的身边,003XT6Ef4H6X66
97,"Baby, Don't Cry（人鱼的眼泪）",EXO,The 1st Album XOXO (KISS&HUG),002lSw7047MuDL
98,喜欢你,G.E.M. 邓紫棋,喜欢你,002G0sJY2wThyx
99,越来越不懂,蔡健雅,Goodbye & Hello,0037OKVx2ybIUT
100,体面,于文文,体面,000Md1wq0vnwzE
101,情歌,梁静茹,静茹 & 情歌 别再为他流泪,0010BrWk2SucQr
102,后来的后来（后来的我们没有结果）,田园,后来的后来 (后来的我们没有结果),000jZpTx2QKdFJ
103,动物世界,薛之谦,渡 The Crossing,003RCA7t0y6du5
104,稻香,周杰伦,魔杰座,003aAYrm3GE0Ac
105,普通朋友,陶喆,I'm OK,004FITZG2U6rAF
106,夜曲,周杰伦,十一月的萧邦,001zMQr71F1Qo8
107,云裳羽衣曲,周深,云裳羽衣曲,000wXRGx2u2NJ8
108,我们的明天,鹿晗,重返20岁 电影原声带,000aKw3L1eVeys
109,说了再见,周杰伦,跨时代,00265Jxe3JzXOJ
110,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯,002RqUNl1i573g
111,Love Story,Taylor Swift,Fearless (Platinum Edition),004GK4aP4TGbbG
112,枫,周杰伦,十一月的萧邦,003KtYhg4frNXC
113,感谢你曾来过,Ayo97 & 周思涵,卧龙与酒,0042xeq137FRKW
114,心墙,郭静,在树上唱歌,001r8VMR24xJHa
115,认真的雪,薛之谦,薛之谦,001hUNRP0P8g7x
116,心墙,林俊杰,她说 概念自选辑,0005WAB54TCYSn
117,我好像在哪见过你,薛之谦,初学者,004VBMk71TdUuR
118,我想要占据你,告五人,带你飞,004Mb5FX0R0qJ3
119,同花顺,林倛玉,12莲花 原著电影原声带 (Original Motion Picture Soundtrack),002ev1QN1mwSYJ
120,淘汰,陈奕迅,认了吧,0029dqHX0nuawd
121,那些你很冒险的梦,林俊杰,学不会,002kADrZ01iC2L
122,天若有情,A-Lin,天若有情,003elgGQ3c1uQN
123,关键词,林俊杰,和自己对话 From M.E. To Myself,001OeHvA0NASwT
124,平凡之路,朴树,猎户星座,000T1Ws32MWrUj
125,Take Me Hand,DAISHI DANCE & Cécile Corbel,WONDER Tourism,002PtoH04KOk2P
126,明明就,周杰伦,十二新作,000oW8J53xPhZA
127,有何不可,许嵩,自定义,002mZevo3wHvsc
128,ANGEL,尹美莱 & Tiger JK & Bizzy,Angel,004PjZLu3CjaYS
129,我还想她,林俊杰,JJ陆,003gUMnj3mMwLZ
130,雨天,孙燕姿,My Story 2006 新歌+精选,001pHzdz29aG1Z
131,你不知道的事,王力宏,十八般武艺,004OhZs82CZXfA
132,说好的幸福呢,周杰伦,魔杰座,0042QMDR1VzSsx
133,再见,G.E.M. 邓紫棋,新的心跳,003sYHuC3aBd4r
134,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,003hj8yv0e6SW8
135,模特,李荣浩,模特,002FRBul05dgjC
136,野心家,张靓颖,灼灼韶华 影视原声带,004dMQZu0DPfjO
137,一路向北,周杰伦,J III MP3 Player,001xd0HI0X9GNq
138,没出息,知鷗周,没出息（新编版）,001SsSPg3bwFVr
139,大城小爱,王力宏,盖世英雄,004O1DHG4MjYOi
140,恶作剧,王蓝茵,恶作剧之吻 电视剧原声带,003mRf8u26lMMY
141,就是爱你,陶喆,太平盛世,004W7UED0x3pqD
142,怪咖,薛之谦,怪咖,003FFWnA3AIczD
143,伯虎说,伯爵Johnny & 唐伯虎Annie,伯虎说 (feat.唐伯虎Annie),000BjWD738n3mi
144,天天,陶喆,I'm OK,001fG3BI0ffL2G
145,好久不见,陈奕迅,认了吧,004M3yRr3kOfnS
146,幻听,许嵩,梦游计,003MUDkf30pS5B
147,太聪明,陈绮贞,Groupies 吉他手,001z3G5r2M3KZj
148,反方向的钟,周杰伦,Jay,0017K7gL4WYnw2
149,红尘客栈,周杰伦,十二新作,003xv4w313tZHV
150,蒲公英的约定,周杰伦,我很忙,004Yi5BD3ksoAN
151,左转灯 (1000 Times +1),派伟俊 & mac ova seas,左转灯 (1000 Times +1),001kbGUi3hwzq5
152,没出息,王搏,没出息（原作）,000aOsYW4CssTY
153,你一走心就空,方辰,你一走心就空,002TjGCP15JIRx
154,醒着醉 (抬头看见那微笑的雪花),夏心心,醒着醉 (抬头看见那微笑的雪花),004fFAI73bJZHY
155,Me and You (Remastered),Eric周兴哲,许我耀眼 影视原声带,001JaCjf2klpxr
156,Blue Valentine,NMIXX,Blue Valentine,002vMdtq102Ur1
157,归信如帆,王一珩OneSD,万里长歌,003uZHXT1jl9Ww
158,Opalite,Taylor Swift,The Life of a Showgirl (Explicit),001lrZVq2j0WBm
159,OVERDRIVE,TWS,TWS 4th Mini Album 'play hard',001H0tks1Eu7PP
160,伤心的人都在跳舞,刘宇宁,伤心的人都在跳舞,002PWpqA010xhc
161,BURNING UP,MEOVV,BURNING UP,003aiBAC1JQuZk
162,Ice On My Baby,Yung Bleu,Ice On My Baby (Explicit),000teS4M030X4e
163,Take My Time,Eric周兴哲,许我耀眼 影视原声带,001vCgyF0ZGeYc
164,DAMIDAMI,Sihan & 三Z-STUDIO & HOYO-MiX,绝区零-DAMIDAMI,004Nn9kj2qndCo
165,打火机 (哈基米南北绿豆),VT.Shy,打火机 (哈基米南北绿豆),000Z18ys16OwTI
166,恋人未满,TF_ING穆祉丞,恋人未满,003L72ja3CCdyw
167,后来的后来,田园,后来的后来,003BNYc448jere
168,从此我等风等雨不等你,张不问,从此我等风等雨不等你,00368Vc023a9lt
169,没出息 (本来应该从从容容游刃有余),余火火 & 房顶的猫 & 音量不足,没出息 (本来应该从从容容游刃有余),0042y0Xx33KqpQ
170,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS (Explicit),003rY4oC4Ju2ZZ
171,没出息,麻辣汉堡包,没出息(说唱版),0013mRdZ3rxzv6
172,失眠飞行,接个吻，开一枪 & 沈以诚 & 薛明媛,失眠飞行,002Dozr71bdxYc
173,很爱很爱你,大头针,很爱很爱你,003kWVX10f3UY7
174,哼着你爱听的歌,田园,哼着你爱听的歌 (女版),0003Vmm642Cq7Z
175,I Fall Apart,Post Malone,Stoney (Explicit),004Zusiz2jOF9U
176,月光光,任素汐,2025玉林路民谣音乐季,001McYuQ2JIgtJ
177,我是人间惆怅客,空想之喵,我是人间惆怅客,002ZHnoa3Nku7T
178,淡季动物园,许光汉,许光汉,003onToR2LjhZz
179,SPINNIN′ ON IT,NMIXX,Blue Valentine,0026A1cV3cVeRZ
180,孟婆再来一碗汤,黄静美,孟婆再来一碗汤,003ORigs3KXNyi
181,未见花开,乱徵,敬公长歌,001v78In4Jh5qt
182,예쁜 나이 25살,宋枝恩,25,001Y28lg25lPj6
183,烂人,陆虎,烂人,004Mm4IE0yTf61
184,江湖之间·2025,曹雨航 & 朝歌夜弦,江湖之间·2025,0006Jdt32nK6rV
185,SUPA DUPA LUV,BABYMONSTER,WE GO UP,0020D2NE2pMiNC
186,很爱很爱你（所以愿意不牵绊你）,大头针,很爱很爱你（所以愿意不牵绊你）,003BLnw00oJGYM
187,"Умри, если меня не любишь",Dakooka,Singles,000MVCQU00YPVC
188,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl (Explicit),000UrL7I1nDJLi
189,นับหนึ่ง (From now on),Billkin,นับหนึ่ง (From now on),000VZ4Zr1PbuwZ
190,戏文说,张含韵 & 刘宇,戏文说,000YXTaY28J0kJ
191,情人太难 朋友不甘,烟嗓船长,情人太难 朋友不甘,000bNt801Akq8N
192,The Life of a Showgirl,Taylor Swift & Sabrina Carpenter,The Life of a Showgirl (Explicit),0049hyF92lkZ6p
193,没出息,黑豆ado & 余火火 & 房顶的猫 & 音量不足,没出息 (女版),000pXnYw16STbx
194,若你的世界没有暖阳,侯明昊,入青云 影视原声带,000al6iV1q9M6k
195,你风华正茂 (我穷困潦倒),烟嗓船长,你风华正茂 (我穷困潦倒),003tYjjF0zPoCe
196,爱入青云,黄霄雲,入青云 影视原声带,002dShQZ1PUtBJ
197,真夜中のドア - Stay With Me,松原みき,真夜中のドア - Stay With Me,002HFjyf2ew5AT
198,PSYCHO,BABYMONSTER,WE GO UP,000t7ZKA4IWRFO
199,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!,000QtPJG3x6ukQ
200,放生,赵乃吉,放生,004Ows2T3CjzIa
201,为你揭晓,张艺兴 & 林俊杰,为你揭晓,003XrK5P2xuSWF
202,intentions,starfall,alone tonight (Explicit),000FCYK42a2qtI
203,恋人 (爱像是一场小雨),孙小花,恋人,002eUREE1HqOGi
204,月亮与六便士,窝窝,月亮与六便士,004VXGKg1VLFbX
205,你那么明媚,烟嗓船长,你那么明媚,001bFZSa0CeYuE
206,WILD,BABYMONSTER,WE GO UP,000ItXsk1CSPjE
207,恒星,梓渝,恒星,001mf8ls079iXw
208,颜如玉,李大奔BENZO,IDOL,001ZGtlJ3afuot
209,Love on the canvas,SOHEE,"환승연애4 OST Part 2 (EXchange4, Pt. 2 (Original Soundtrack))",001kQ4fj1KT92Y
210,浮生戏叹,陈少熙,万里长歌,002JlRGa3C9yc7
211,不值得,赵乃吉,不值得,002Yq0xC1fnxIm
212,重光,周深,重光,000tzwmo0HDqeS
213,太多,烟嗓船长,太多,003LYL6p36q4Gi
214,poster boy,2hollis,2 (Explicit),003oPT0X2KCUVT
215,打火机 (吉隆坡的天气它是翻云又覆雨),程嘻嘻,打火机 (温柔版),000ouNxL0LqkGP
216,毒酒,刘宇宁,入青云 影视原声带,0025j4YI080qAu
217,耍赖,陈楚生,耍赖,000isr1E3zI025
218,坦荡,Kbz小猪,坦荡,000mrD1t49ewTe
219,碎碎念,队长,碎碎念,0016znix01HNzO
220,偏爱 (My devotion),黄星 & 邱鼎杰,Beloved (挚爱),0040604t3PQ0Yt
221,CANCELLED!,Taylor Swift,The Life of a Showgirl (Explicit),004WTWaO2uxAg1
222,我是不是你最疼爱的人,大橘子,我是不是你最疼爱的人,002eCFFP0yjvjB
223,一天一万年,游鸿明,一天一万年,004GPTDU31MVdm
224,EYES CLOSED,JISOO & ZAYN,EYES CLOSED,003dPMw34ZkV4y
225,maybe,mixed matches,maybe (prod. lukrative & mixed matches),004gb71E38nc3c
226,我的对,周深,刺杀小说家2 电影原声带,001C8UAi1Tc257
227,风替我忘了你,珍藏版,无人区玫瑰,0031v5V30e2BL2
228,贩卖想念 (我的世界兵荒马乱),赵乃吉,贩卖想念 (我的世界兵荒马乱),001rVTc71z5nW3
229,Father Figure,Taylor Swift,The Life of a Showgirl (Explicit),003OUHVR2nz22i
230,别回头,PAMajor,别回头,0017MEAv0s9wrB
231,별 (Star),朴宰范,New Breed,002FkjaL3nF5i3
232,秋风吹离别,烟嗓船长,秋风吹离别,002gVXoh4AZRTF
233,到时说爱我,step.jad依加,到时说爱我,003ZA8YG2pOJPU
234,新摆烂指南 (Just Slack Off),鸭腩儿,灵感环岛 (Explicit),001ji7p90vDl9v
235,MEEEEEE (NAYEON),TWICE & 娜琏,TEN: The Story Goes On,001dsnT74GOMGT
236,香水百合,张韶涵,潘朵拉,004C8KeH1lNpCf
237,无赖,林忆莲,歌手 第2期,00104G0K3D2SDb
238,心碎在秋天,黑豆ado,心碎在秋天,003OWwXB28xEFi
239,原来,南征北战NZBZ & 米线,持续高温,003E6oYn1S0W7x
240,下雨天,Lara梁心颐,下雨天,001WO0QA2bNIpP
241,不爱何必吻,半吨兄弟 & 张诗漫,不爱何必吻,001i2pga0vEPHx
242,穿越曙光,唐丹,铠甲勇士 动画原声带,0027nlt73N6phi
243,向山野,谭维维,向山野,000j2VgS1cJgsM
244,Wood,Taylor Swift,The Life of a Showgirl (Explicit),003IfGp81b0tFh
245,她的路，我们的光,梓渝,她的路，我们的光,003v6W8y3F72Ni
246,不败的英雄,唐俊迪,不败的英雄 (铠甲勇士),003M8wJt2orsfE
247,Underneath The Stars,Mariah Carey,Daydream,000CivfH02hb8A
248,话你知所有,鹭卓,话你知所有,000NBBbt07pwyP
249,可乐 (花白头发谢谢爱的人),薛朋朋,可乐 (花白头发谢谢爱的人),0035Wljj1JIY0Y
250,不要怕,瓦其依合,听见凉山 电视剧原声带,003YNmPy3pmGsm
251,Ain't Got No Love,王俊凯,Ain't Got No Love,001dvaZf4EHBnY
252,华晨宇 向阳而生,玉香超级甜,你的深夜电台,0024Eoi53RODG1
253,飞鸟不懂深秋,口袋里的糖,飞鸟不懂深秋,0041yjIe3mcU3D
254,恰逢雨季,LBI利比（时柏尘）,恰逢雨季,002fhtG21U1Ahn
255,狂澜,黄子弘凡,一笑随歌 电视剧原声带,002rxpff2vfs5L
256,龙井,何浩楠,万里长歌,003ASVdh1jPjWq
257,挚友,张碧晨,一起开麦吧 第1期,002nVWKy2QEgWE
258,假如再重来,伊斯玛哈撒嗯.达嗨,许我耀眼 影视原声带,000E1It91rFYWO
259,你,展轩,你,003Y0AR02Nky7c
260,玛尼情歌,上官红燕,玛尼情歌,00168AWg3JSf7d
261,山高路远,王优秀,山高路远,000oQmZr2MfQE1
262,Sweet,Bren Joy & Landon Sears,Twenties (Explicit),002xBkTS4BwjnD
263,罗生门,DreamSky & 宁晗,罗生门（完整版）,001E6A5V2a5gyn
264,Jhim Jhimaune Aankha,Ekdev Limbu,Jhim Jhimaune Aankha,002uPTWR22rXnE
265,Starlight,JENNIE,Ruby,003693lD1Y8QQd
266,阳光下的星星（空悲切）,几度,阳光下的星星（空悲切）,003franf12ahIT
267,放下你也放过自己,烟嗓船长,放下你也放过自己,003KqwQo0i5tRT
