排名,歌曲名,歌手,专辑
73,マシュマロ,DECO*27,マシュマロ
74,Pastoral,Aimer,Pastoral
75,你不再需要,TC,你不再需要
76,耐寒体质,FEEEleven / 杨和苏KeyNG,耐寒体质
77,Boyboybee,Qism Rhex,爱了又爱
78,Talking Bodies,尹浩宇Patrick,Mint
79,想你的夜,刘大拿,想你的夜
80,有且,杨丞琳,有且
81,King Style,马思唯 / 谢帝,乐透人生GT：即刻入戏
82,the simlish song,Lyn Lapid,the simlish song
83,纽约夜,Rapeter / 热单间HEATROOM,HEATROOM TAPE 3rd
84,An Ode to Time,冻痛 / Yaecui^小冉,An Ode to Time
85,Blue Valentine,NMIXX,Blue Valentine
86,超人披风,GX (鼓鼓 吕思纬、萧秉治),超人披风
87,逐光筑昼,鸣潮先约电台 / YUE.STEVEN / Mars Atlas,烬夜启明
88,思念在雨夜蔓延,Harmonic Thaw / Yaecui^小冉,思念在雨夜蔓延
89,Rovert Plaen 阴天氛围,Modan,vatKEL
90,妖精小姐的魔法邀约 Miss Elf's Magical Invitation,宴宁 / HOYO-MiX,崩坏3-故星铭于长空-Original Soundtrack
91,恰逢雨季,LBI利比,恰逢雨季
92,Gravity,Hazbin Hotel / Jessica Vosk / Alex Brightman / Sam Haft / Andrew Underberg,Gravity
93,再见了朋友我们终会再相逢,犬儒乐队,心房
94,最美的记号,永彬Ryan.B,最美的记号
95,倒刺,加木,嵌入生长
96,沟壑,加木 / 戈壁计划,嵌入生长
97,YWD,Top Barry,YWD
98,秋叶缘,林家谦,秋叶缘
99,要不就算了吧,吴炳文,要不就算了吧
100,紧身衣,SASIOVERLXRD,超级孙先生
