排名,歌名,歌手,专辑
52,挂机（厌倦了吵架厌倦了迷人的谎话）,Lefty,挂机（厌倦了吵架厌倦了迷人的谎话）
53,#DBAA,黄之仪Kyra Zilver,#DBAA
54,关于你（Live）,姚晓棠,关于你（Live）
55,我要去哪里,范晓萱,赤子
56,Arhbo (FIFA World Cup Qatar 2022 ),⌘,Arhbo
57,追晚风的人,徐薇,追晚风的人
58,听见（The Sound of Us）,银河快递,听见
59,岁月里的花,莫文蔚,岁月里的花
60,Hotel Lobby,马思唯 / 艾志恒Asen,乐透人生GT：即刻入戏
61,又是一个下雨天,一只小皮箱,明天会下雨吗
62,Open Arms x Water,5757 / BROWN RECORD,Open Arms x Water
63,心房,犬儒乐队,心房
64,空荡荡,周深,小深情
65,没出息（加长版）,王搏,没出息（本来应该从从容容游刃有余）
66,篇章,王赫野,篇章
67,2 get over it,buckit 陈楒潼,2 get over it
68,局子街,零赫兹0HZ / 金俊秀 June / BEEN元彬,局子街
69,生活不止眼前的苟且 (live),于适 / 胡海泉 / 于文文 / 火星电台 / 莫西子诗 / 刘凤瑶,听，谁在唱歌 第9期
70,从此以后·2023,虎皮蛋,从此以后
71,Stuck In The Middle,BABYMONSTER,Stuck In The Middle
72,忽远忽近,王唯一,忽远忽近
73,Behemoth（泰坦力量）,QDFLY,Behemoth（泰坦力量）
74,Mine or Yours (The Blessed Madonna's GODSQUAD Mix),宇多田ヒカル / The Blessed Madonna,Mine or Yours (The Blessed Madonna's GODSQUAD Mix)
75,姐妹们的旅行,范晓萱 / 徐熙媛 / elephant DEE 徐熙娣 / 阿雅,姐妹们的旅行
76,清透,陈粒,贴近大地
77,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
78,第二人称,杜宣达,第二人称
79,如果当时,许嵩,自定义
80,Lucky Me!,Magens / 初音ミク,Lucky Me!
81,ICEMAN (What Did I Miss ？)ED.Sped Up,SmokeBoi,ＩＣＥ ＭＡＮ
82,Electronic fluoxetime,MerrinZephyr,Electronic fluoxetime
83,espero(等着你),曼尼洛夫 / 小白羊HUSH,espero(等着你)
84,告白期限,黄伊宁,告白期限
85,Want You,Clara La San,Want You
86,所以我可以喜欢你吗（Live）,大宽,等烟火的人 Live - 个人巡演现场实录
87,愿你爱自己，像我爱你一样,Crispy脆乐团,愿你爱自己，像我爱你一样
88,Lotus Luv（莲爱）,Dahl_,Cassette of Luv
89,太阳与地球,卢广仲,HeartBreakFast 伤心早餐店
90,Cheri Cheri Lady,Max Oazo,Cheri Cheri Lady
91,千山云遮,以冬,千山云遮
92,故湘，风,GAI周延,故湘，风
93,midnight smoke,MRZ,RNB type beat‘midnight smoke’
94,Maui Wowie,Kid Cudi,A Kid Named Cudi
95,Principles Of Lust,Enigma,Trilogy
96,1985,王赫野,宴
97,OOH-AHH하게,TWICE,THE STORY BEGINS
98,很爱很爱你,刘若英,很爱很爱你
99,To Be A Man (Mega Remix),Dax / The Mediary / Shane / Skywalker DaVinci / Kaveman Brown / Hailey Dayton / Ben Becker / Brutha Rick / Romeo ThaGreatwhite / Phix / Atlus,To Be A Man (Mega Remix)
100,S&M,Rihanna,Loud
